date,strain_detect,tot_samples,prop,new_cases,new_deaths,roll_cases,roll_deaths
2020-10-01,1,1565,6.389776357827476e-4,6929,59,6269.428571428572,51.857142857142854
2020-10-02,0,860,0,6994,66,6286,52.714285714285715
2020-10-03,0,766,0,12885,49,7262.428571428572,53.285714285714285
2020-10-04,0,379,0,22965,33,9728.857142857143,53.142857142857146
2020-10-05,0,1549,0,12603,19,10949.857142857143,55.714285714285715
2020-10-06,0,1362,0,14557,76,12007.142857142857,58.714285714285715
2020-10-07,0,1292,0,14173,70,13015.142857142857,63.285714285714285
2020-10-08,1,967,0.001034126163391934,17550,77,14532.42857142857,67.85714285714286
2020-10-09,0,1025,0,13888,87,15517.285714285714,72.28571428571429
2020-10-10,0,458,0,15175,81,15844.42857142857,81.85714285714286
2020-10-11,3,753,0.00398406374501992,12882,65,14404,91.42857142857143
2020-10-12,0,1433,0,14011,50,14605.142857142857,100.14285714285714
2020-10-13,0,908,0,17250,143,14989.857142857143,107.14285714285714
2020-10-14,0,1073,0,19751,137,15786.714285714286,117
2020-10-15,3,1839,0.0016313213703099511,18996,138,15993.285714285714,117.28571428571429
2020-10-16,0,841,0,15657,136,16246,121.57142857142857
2020-10-17,0,890,0,16186,150,16390.428571428572,135.57142857142858
2020-10-18,0,409,0,16994,67,16977.85714285714,143.28571428571428
2020-10-19,0,1177,0,18830,80,17666.285714285714,150.57142857142858
2020-10-20,0,1727,0,21365,241,18254.14285714286,163.14285714285714
2020-10-21,15,2321,0.006462731581214994,26707,191,19247.85714285714,166.57142857142858
2020-10-22,7,2189,0.0031978072179077205,21257,189,19570.85714285714,178.57142857142858
2020-10-23,6,910,0.006593406593406593,20559,224,20271.14285714286,181.71428571428572
2020-10-24,5,1052,0.004752851711026616,23033,174,21249.285714285714,199.71428571428572
2020-10-25,2,427,0.00468384074941452,19797,151,21649.714285714286,216.71428571428572
2020-10-26,2,1600,0.00125,20900,102,21945.428571428572,229.71428571428572
2020-10-27,0,880,0,22924,367,22168.14285714286,236.85714285714286
2020-10-28,0,473,0,24714,310,21883.428571428572,258.57142857142856
2020-10-29,18,1232,0.01461038961038961,23078,280,22143.571428571428,260.14285714285717
2020-10-30,8,1444,0.00554016620498615,24418,274,22694.85714285714,265
2020-10-31,5,573,0.008726003490401396,21919,326,22535.714285714286,269.2857142857143
2020-11-01,38,1986,0.019133937562940583,23261,162,23030.571428571428,295.2857142857143
2020-11-02,52,2592,0.020061728395061727,18967,136,22754.428571428572,309.2857142857143
2020-11-03,7,1101,0.006357856494096276,20078,397,22347.85714285714,320.85714285714283
2020-11-04,3,1625,0.0018461538461538461,25206,492,22418.14285714286,333.2857142857143
2020-11-05,84,1696,0.049528301886792456,24164,378,22573.285714285714,332.42857142857144
2020-11-06,22,900,0.024444444444444446,23322,355,22416.714285714286,340.85714285714283
2020-11-07,0,966,0,24979,413,22853.85714285714,360.14285714285717
2020-11-08,101,2059,0.04905293831957261,20580,156,22470.85714285714,375
2020-11-09,41,1385,0.0296028880866426,21397,195,22818,401.42857142857144
2020-11-10,18,1033,0.017424975798644726,20451,532,22871.285714285714,404.42857142857144
2020-11-11,45,1738,0.025891829689298044,23000,596,22556.14285714286,411.42857142857144
2020-11-12,150,2077,0.07221954742416947,33517,563,23892.285714285714,413.14285714285717
2020-11-13,188,2117,0.08880491261218705,27316,376,24462.85714285714,415.85714285714283
2020-11-14,130,2455,0.05295315682281059,26876,462,24733.85714285714,425.42857142857144
2020-11-15,89,1001,0.08891108891108891,24977,168,25362,415.85714285714283
2020-11-16,10,428,0.02336448598130841,21415,214,25364.571428571428,407.14285714285717
2020-11-17,101,1046,0.0965583173996176,20060,599,25308.714285714286,426.42857142857144
2020-11-18,97,2376,0.040824915824915826,19645,529,24829.428571428572,409
2020-11-19,59,660,0.0893939393939394,22936,502,23317.85714285714,442
2020-11-20,36,1148,0.0313588850174216,20274,511,22311.85714285714,441
2020-11-21,117,838,0.13961813842482101,19921,340,21318.285714285714,442.2857142857143
2020-11-22,265,1123,0.23597506678539626,18667,399,20416.85714285714,466
2020-11-23,35,914,0.038293216630196934,15465,207,19566.85714285714,465.42857142857144
2020-11-24,32,553,0.05786618444846293,11344,608,18321.714285714286,466.7142857142857
2020-11-25,14,689,0.020319303338171262,18261,695,18124,486.57142857142856
2020-11-26,101,826,0.12227602905569007,17557,498,17355.571428571428,460.2857142857143
2020-11-27,93,889,0.1046119235095613,14821,520,16576.571428571428,459.7142857142857
2020-11-28,76,405,0.18765432098765433,15891,479,16000.857142857143,459
2020-11-29,55,350,0.15714285714285714,12164,215,15071.857142857143,452.2857142857143
2020-11-30,40,484,0.08264462809917356,12428,203,14638,440.2857142857143
2020-12-01,27,456,0.05921052631578947,13497,603,14945.57142857143,438
2020-12-02,64,665,0.0962406015037594,16237,648,14656.42857142857,426.2857142857143
2020-12-03,53,737,0.07191316146540028,14951,414,14284.142857142857,428.57142857142856
2020-12-04,158,677,0.23338257016248154,16382,504,14507.142857142857,426.57142857142856
2020-12-05,107,774,0.13824289405684753,15579,397,14462.57142857143,426
2020-12-06,68,903,0.0753045404208195,17372,231,15206.57142857143,409.57142857142856
2020-12-07,286,1160,0.24655172413793103,14774,189,15541.714285714286,424.14285714285717
2020-12-08,218,907,0.24035281146637266,12386,599,15383,412.7142857142857
2020-12-09,180,906,0.1986754966887417,16634,533,15439.714285714286,430.2857142857143
2020-12-10,977,2456,0.3978013029315961,21066,516,16313.285714285714,417.85714285714283
2020-12-11,376,1564,0.24040920716112532,21784,424,17085,424.14285714285717
2020-12-12,280,1031,0.27158098933074687,21554,520,17938.571428571428,410.85714285714283
2020-12-13,575,1336,0.43038922155688625,18541,144,18105.571428571428,422.14285714285717
2020-12-14,437,1584,0.2758838383838384,20377,233,18906,424.42857142857144
2020-12-15,678,1604,0.4226932668329177,18569,506,19789.285714285714,433.85714285714283
2020-12-16,708,1719,0.4118673647469459,25300,612,21027.285714285714,436.2857142857143
2020-12-17,919,1847,0.4975636166756903,35532,532,23093.85714285714,462.2857142857143
2020-12-18,1011,1956,0.5168711656441718,28560,490,24061.85714285714,459.7142857142857
2020-12-19,503,1158,0.43436960276338515,27249,537,24875.428571428572,486.14285714285717
2020-12-20,434,1087,0.39926402943882244,36084,326,27381.571428571428,505.57142857142856
2020-12-21,526,1353,0.3887657058388766,33517,215,29258.714285714286,511.7142857142857
2020-12-22,235,644,0.36490683229813664,36931,691,31881.85714285714,523.1428571428571
2020-12-23,192,454,0.42290748898678415,39387,748,33894.28571428572,476.57142857142856
2020-12-24,325,733,0.4433833560709413,39148,575,34410.857142857145,479.57142857142856
2020-12-25,225,381,0.5905511811023622,32803,570,35017,499.85714285714283
2020-12-26,791,1270,0.6228346456692914,34788,211,36094,466.57142857142856
2020-12-27,437,902,0.4844789356984479,32493,347,35581,500
2020-12-28,176,435,0.4045977011494253,41460,357,36715.71428571428,555.7142857142857
2020-12-29,226,549,0.4116575591985428,53275,458,39050.57142857143,562.1428571428571
2020-12-30,76,201,0.3781094527363184,50239,982,40600.857142857145,595.5714285714286
2020-12-31,79,190,0.41578947368421054,56029,965,43012.42857142857,611
2021-01-01,16,42,0.38095238095238093,53458,615,45963.142857142855,618.5714285714286
2021-01-02,19,72,0.2638888888888889,57853,445,49258.142857142855,679
2021-01-03,16,40,0.4,55157,455,52495.857142857145,687.5714285714286
2021-01-04,1,77,0.012987012987012988,58923,410,54990.57142857143,715.7142857142857
2021-01-05,42,61,0.6885245901639344,61087,881,56106.57142857143,818.2857142857143
2021-01-08,0,1,0,68192,1333,59507.857142857145,935.5714285714286
